instagram_comments,offensive_language,offensiveness_levels,hate_speech
este lixo ...,1,1,-1
Mais um lixo,1,1,-1
Essa nao tem vergonha na cara!!,1,2,-1
Essa mulher é doente.pilantra!,1,3,-1
Comunista safada...,1,2,"5,8"
Vagabunda. Comunista. Mentirosa. O povo chileno nao merece uma desgraça desta.,1,3,"5,8"
"COMUNISTA SAFADA, MALPARIDA, MAMAGUEVA, DESGRAÇADA, COÑO É TU MADRE.",1,3,"5,8"
Besta quadrada.,1,2,-1
Comunista lixo!,1,1,5
Hipocritas,1,2,-1
Hipocrita!!,1,2,-1
"Quem tem pena é galinha, mas ela é uma VACA LOUCA.",1,3,8
Esquerdista.,1,2,5
Mande essa Bachelet plantar batata no asfalto. Puta que pariu até o tamborete de bordel se acha no direito de falar do Brasil.,1,3,-1
Mulherzinha safada,1,3,8
Cara de pau.,1,3,-1
Oportunista essa corrupta.Agora todos os Comunistas querem se fazer de vítimas.,1,3,5
Porque é uma bandida,1,2,-1
Mentem e roubam..... Não vai mais mamar.....,1,3,-1
Tudo igual. Só pensam no próprio rabo,1,2,-1
Plano da esquerda foi é e será sempre críticar não nunca teve um plano de governo único plano era como roubar .,1,2,5
Cretina!,1,2,-1
Guarde sua pena ...nos da ânsia de vômito,1,1,-1
Quem não têm caráter é contra o presidente Bolsonaro,1,2,-1
O problema dela é que a tetinha secou,1,2,-1
Será que alguém em sã consciência ainda vai acreditar nesta farsante? Não acredito em um fio do seu cabelo pintado.,1,2,-1
Bandida😡😡,1,2,-1
Ela tem cara de homem né? Macron deve achar gata,1,2,8
É uma cara de pau mesmo... 😡,1,3,-1
Nojo dessa pilantra,1,3,-1
Olha ai a hipocrisia dessa mulher,1,2,-1
Bando de canalhas,1,3,-1
"Joga uma carteira de trabalho que correm todos, na verdade não gostam de trabalhar só sabem roubar o brasil",1,1,-1
Vieja idiota.,1,2,-1
Outra bandida ...,1,2,-1
Cretina!!!,1,3,-1
BACHELETA DA TRETA E MUTRETA CHILENA..CANALHA SAPATONA.. BICHELETA..,1,3,4
Ridícula nojenta,1,3,-1
"hipocrisia, mal do seculo: falta de caráter geral. Ser humano não deu certo.",1,2,-1
"Isso é uma realidade da imbecilidade humana, não tem moral prá nada...",1,2,-1
Noventa comunista,1,1,5
Noventa comunista,1,1,5
E eu tenho pena de vc sua ridícula.,1,2,-1
"Eu tenho pena do Brasil, pois com o PT no poder todos os corruPTos do mundo tiraram vantagem das nossas riquezas. Inclusive essa hipócrita amiga da Dilma.🤔",1,2,5
Óleo de peroba pra lustrar a cara de pau!,1,3,-1
"Mentir e roubar. Tudo que os comunistas sabem fazer. Trabalhar e produzir alguma coisa, jamais.",1,1,5
"Velha barriguda d bem folgada, heim?🧐🤔😤",1,3,3
"Esquerdista agora fala em democracia porque levou uma surra no voto, assim como vagabundo jura por Deus depois de um tapa na lateral.🤣",1,2,5
Aí a ganância falou mais alto... corrupta!,1,2,-1
Descarada!,1,2,-1
@onubrasil corruptos.,1,2,-1
Nojo 🙈🙉🙊sempre assim,1,1,-1
Devolve o dinheiro roubado via OAS...,1,1,-1
Débil. ..,1,1,-1
Hipocrita!,1,2,-1
Mais uma esquerdista ridícula💩💩,1,2,5
Isso não passa de uma mera oportunista! #michelebachelet #oas não passa de uma múmia esquerdista ainda em atividade minha querida @carla.zambelli . Obrigado pelas informações de sempre 🇧🇷💙,1,2,5
Rapariga de cego ! Quem essa vagabunda pensa que é pra dar pitaco aqui dentro ! Vagabunda,1,3,8
Hipócrita!!!! 🤮,1,2,-1
Bachelet vc como todo bom esquerdista é uma hipócrita. Tenha pena de vc e do seu povo.,1,2,5
Q mulher ordinária,1,2,8
"Realmente, uma verdadeira hipócrita!",1,2,-1
Simples... São canalhas que amam o dinheiro do povo. 👊🏾 🇧🇷 Acabou pra eles aí ficam nesta choradeira de 🚮. Esgoto... Lama podre. Isso eh o comunismo. Povo na merda é eles de boa. Canalhas! 👊🏾,1,3,5
Pq é uma vaca.,1,1,8
Vagabunda,1,2,8
Porca asquerosa🤮🤮🤮,1,3,"3,8"
