id,comentario,anotator1,anotator2,anotator3,label_final,links_post,account_post
1,Mais um lixo,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
2,Essa nao tem vergonha na cara!!,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
3,Essa mulher é doente.pilantra!,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
4,Comunista safada...,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
5,Vagabunda. Comunista. Mentirosa. O povo chileno nao merece uma desgraça desta.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
6,"COMUNISTA SAFADA, MALPARIDA, MAMAGUEVA, DESGRAÇADA, COÑO É TU MADRE.",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
7,Besta quadrada.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
8,Se elegeu as nossas custas,1,0,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
9,Comunista lixo!,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
10,"Quem tem pena é galinha, mas ela é uma VACA LOUCA.",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
11,Mande essa Bachelet plantar batata no asfalto. Puta que pariu até o tamborete de bordel se acha no direito de falar do Brasil.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
12,Mulherzinha safada,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
13,Oportunista essa corrupta.Agora todos os Comunistas querem se fazer de vítimas.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
14,Porque é uma bandida,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
15,Mentem e roubam..... Não vai mais mamar.....,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
16,Tudo igual. Só pensam no próprio rabo,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
17,Plano da esquerda foi é e será sempre críticar não nunca teve um plano de governo único plano era como roubar .,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
18,"Guarde sua ""pena"" ...nos da ânsia de vômito",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
19,Quem não têm caráter é contra o presidente Bolsonaro,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
20,O problema dela é que a tetinha secou,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
21,Será que alguém em sã consciência ainda vai acreditar nesta farsante? Não acredito em um fio do seu cabelo pintado.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
22,Ela tem cara de homem né? Macron deve achar gata,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
23,É uma cara de pau mesmo... 😡,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
24,Nojo dessa pilantra,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
25,Olha ai a hipocrisia dessa mulher,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
26,"Joga uma carteira de trabalho que correm todos, na verdade não gostam de trabalhar só sabem roubar o brasil",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
27,Velha idiota.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
28,Outra bandida ...,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
29,BACHELETA DA TRETA E MUTRETA CHILENA..CANALHA SAPATONA.. BICHELETA..,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
30,Ridícula nojenta,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
31,"hipocrisia, mal do seculo: falta de caráter geral. Ser humano não deu certo.",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
32,"Isso é uma realidade da imbecilidade humana, não tem moral prá nada...",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
33,E eu tenho pena de vc sua ridícula.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
34,"Eu tenho pena do Brasil, pois com o PT no poder todos os corruPTos do mundo tiraram vantagem das nossas riquezas. Inclusive essa hipócrita amiga da Dilma.🤔",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
35,Óleo de peroba pra lustrar a cara de pau!,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
36,"Mentir e roubar. Tudo que os comunistas sabem fazer. Trabalhar e produzir alguma coisa, jamais.",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
37,"Velha barriguda d bem folgada, heim?🧐🤔😤",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
38,"Esquerdista agora fala em democracia porque levou uma surra no voto, assim como vagabundo jura por Deus depois de um tapa na lateral.🤣",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
39,Aí a ganância falou mais alto... corrupta!,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
40,Nojo 🙈🙉🙊sempre assim,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
41,Devolve o dinheiro roubado via OAS...,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
42,Mais uma esquerdista ridícula💩💩,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
43,Isso não passa de uma mera oportunista! #michelebachelet #oas não passa de uma múmia esquerdista ainda em atividade minha querida @carla.zambelli . Obrigado pelas informações de sempre 🇧🇷💙,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
44,Rapariga de cego ! Quem essa vagabunda pensa que é pra dar pitaco aqui dentro ! Vagabunda,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
45,Bachelet vc como todo bom esquerdista é uma hipócrita. Tenha pena de vc e do seu povo.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
46,Q mulher ordinária,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
47,"Realmente, uma verdadeira hipócrita!",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
48,Simples... São canalhas que amam o dinheiro do povo. 👊🏾 🇧🇷 Acabou pra eles aí ficam nesta choradeira de 🚮. Esgoto... Lama podre. Isso eh o comunismo. Povo na merda é eles de boa. Canalhas! 👊🏾,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
49,Pq é uma vaca.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
50,Porca asquerosa🤮🤮🤮,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
