comentario,label final,normalized_text,rationales_offensive_1_normalized,rationales_offensive_2_normalized,rationales_offensive_1,links_post,rationales_offensive_2
Mais um lixo,1.0,mais um lixo,['mais um lixo'],['mais um lixo'],Mais um lixo,https://www.instagram.com/p/B2uThqdH9xI/,mais um lixo
Essa nao tem vergonha na cara!!,1.0,essa não tem vergonha na cara,['essa não tem vergonha na cara'],['não tem vergonha na cara'],Essa nao tem vergonha na cara,https://www.instagram.com/p/B2uThqdH9xI/,nao tem vergonha na cara
Essa mulher é doente.pilantra!,1.0,essa mulher é doente pilantra,"['doente', 'pilantra']","['doente', 'pilantra']",doente; pilantra,https://www.instagram.com/p/B2uThqdH9xI/,doente; pilantra
Comunista safada...,1.0,comunista safada,['comunista safada'],"['comunista', 'safada']",Comunista safada,https://www.instagram.com/p/B2uThqdH9xI/,comunista; safada
Vagabunda. Comunista. Mentirosa. O povo chileno nao merece uma desgraça desta.,1.0,vagabunda comunista mentirosa o povo chileno não merece uma desgraça desta,"['vagabunda', 'comunista', 'mentirosa', 'desgraça desta']","['comunista', 'mentirosa', 'não merece uma desgraça desta', 'vagabunda']",Vagabunda. Comunista. Mentirosa; desgraça desta,https://www.instagram.com/p/B2uThqdH9xI/,comunista; mentirosa; nao merece uma desgraça desta; vagabunda
"COMUNISTA SAFADA, MALPARIDA, MAMAGUEVA, DESGRAÇADA, COÑO É TU MADRE.",1.0,comunista safada malparada mamagueva desgraçada cio vôo é tu madre,"['comunista safada', 'malparada', 'mamagueva', 'desgraçada', 'cio vôo é tu madre']","['safada', 'malparada', 'mamagueva', 'desgraçada', 'comunista']",COMUNISTA SAFADA; MALPARIDA; MAMAGUEVA; DESGRAÇADA; COÑO É TU MADRE,https://www.instagram.com/p/B2uThqdH9xI/,SAFADA; MALPARIDA; MAMAGUEVA; DESGRAÇADA; COMUNISTA
Besta quadrada.,1.0,besta quadrada,['besta quadrada'],['besta quadrada'],Besta quadrada.,https://www.instagram.com/p/B2uThqdH9xI/,besta quadrada
Se elegeu as nossas custas,1.0,se elegeu as nossas custas,['se elegeu as nossas custas'],['se elegeu as nossas custas'],Se elegeu as nossas custas,https://www.instagram.com/p/B2uThqdH9xI/,se elegeu as nossas custas
Comunista lixo!,1.0,comunista lixo,['comunista lixo'],['comunista lixo'],Comunista lixo,https://www.instagram.com/p/B2uThqdH9xI/,Comunista lixo
"Quem tem pena é galinha, mas ela é uma VACA LOUCA.",1.0,quem tem pena é galinha mas ela é uma vaca louca,"['quem tem pena é galinha', 'vaca louca']",['ela é uma vaca louca'],Quem tem pena é galinha; VACA LOUCA,https://www.instagram.com/p/B2uThqdH9xI/,ela é uma VACA LOUCA
Mande essa Bachelet plantar batata no asfalto. Puta que pariu até o tamborete de bordel se acha no direito de falar do Brasil.,1.0,mande essa bachelet plantar batata no asfalto puta que pariu até o tamborete de bordel se acha no direito de falar do brasil,"['plantar batata no asfalto', 'puta que pariu', 'tamborete de bordel']","['puta que pariu', 'tamborete de bordel', 'se acha no direito', 'plantar batata no asfalto']",plantar batata no asfalto; Puta que pariu; tamborete de bordel,https://www.instagram.com/p/B2uThqdH9xI/,Puta que pariu; tamborete de bordel; se acha no direito; plantar batata no asfalto
Mulherzinha safada,1.0,mulherzinha safada,['mulherzinha safada'],['mulherzinha safada'],Mulherzinha safada,https://www.instagram.com/p/B2uThqdH9xI/,mulherzinha safada
